ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,PE,total_E
153,1.530000000000005e-05,218.83268690109253,0,0,0.0,0.0,0.0,0.0,1.1669023652347794e-08,1.1669023652347794e-08
154,1.540000000000005e-05,219.33843874931335,0,0,0.0,0.0,0.0,0.0,1.1669023652431354e-08,1.1669023652431354e-08
155,1.5500000000000048e-05,219.91205215454102,0,0,0.0,0.0,0.0,0.0,1.1669023652513614e-08,1.1669023652513614e-08
156,1.5600000000000047e-05,220.42107129096985,0,0,0.0,0.0,0.0,0.0,1.166902365259467e-08,1.166902365259467e-08
157,1.5700000000000046e-05,220.91519284248352,0,0,0.0,0.0,0.0,0.0,1.1669023652674766e-08,1.1669023652674766e-08
158,1.5800000000000045e-05,221.39233899116516,0,0,0.0,0.0,0.0,0.0,1.1669023652753539e-08,1.1669023652753539e-08
159,1.5900000000000044e-05,221.90953516960144,0,0,0.0,0.0,0.0,0.0,1.1669023652831205e-08,1.1669023652831205e-08
160,1.6000000000000043e-05,222.39872670173645,0,0,0.0,0.0,0.0,0.0,1.166902365290786e-08,1.166902365290786e-08
161,1.6100000000000042e-05,223.17121958732605,0,0,0.0,0.0,0.0,0.0,1.1669023652983384e-08,1.1669023652983384e-08
162,1.620000000000004e-05,223.7148780822754,0,0,0.0,0.0,0.0,0.0,1.1669023653057819e-08,1.1669023653057819e-08
163,1.630000000000004e-05,224.2093629837036,0,0,0.0,0.0,0.0,0.0,1.166902365313123e-08,1.166902365313123e-08
164,1.640000000000004e-05,224.71553778648376,0,0,0.0,0.0,0.0,0.0,1.1669023653203656e-08,1.1669023653203656e-08
165,1.650000000000004e-05,225.19280815124512,0,0,0.0,0.0,0.0,0.0,1.1669023653274934e-08,1.1669023653274934e-08
166,1.6600000000000038e-05,225.7494432926178,0,0,0.0,0.0,0.0,0.0,1.1669023653345322e-08,1.1669023653345322e-08
167,1.6700000000000037e-05,226.24373269081116,0,0,0.0,0.0,0.0,0.0,1.1669023653414638e-08,1.1669023653414638e-08
168,1.6800000000000036e-05,226.76636791229248,0,0,0.0,0.0,0.0,0.0,1.1669023653483025e-08,1.1669023653483025e-08
169,1.6900000000000035e-05,227.3047595024109,0,0,0.0,0.0,0.0,0.0,1.1669023653550293e-08,1.1669023653550293e-08
170,1.7000000000000034e-05,227.78996539115906,0,0,0.0,0.0,0.0,0.0,1.1669023653616844e-08,1.1669023653616844e-08
171,1.7100000000000033e-05,228.29464721679688,0,0,0.0,0.0,0.0,0.0,1.1669023653682256e-08,1.1669023653682256e-08
172,1.7200000000000032e-05,228.84986352920532,0,0,0.0,0.0,0.0,0.0,1.1669023653746875e-08,1.1669023653746875e-08
173,1.730000000000003e-05,229.34100103378296,0,0,0.0,0.0,0.0,0.0,1.1669023653810575e-08,1.1669023653810575e-08
174,1.740000000000003e-05,229.83698678016663,0,0,0.0,0.0,0.0,0.0,1.166902365387327e-08,1.166902365387327e-08
175,1.750000000000003e-05,230.41907286643982,0,0,0.0,0.0,0.0,0.0,1.1669023653935223e-08,1.1669023653935223e-08
176,1.7600000000000028e-05,231.03049564361572,0,0,0.0,0.0,0.0,0.0,1.16690236539961e-08,1.16690236539961e-08
177,1.7700000000000027e-05,231.5774929523468,0,0,0.0,0.0,0.0,0.0,1.1669023654056305e-08,1.1669023654056305e-08
178,1.7800000000000026e-05,232.17801022529602,0,0,0.0,0.0,0.0,0.0,1.1669023654115507e-08,1.1669023654115507e-08
179,1.7900000000000025e-05,232.8934006690979,0,0,0.0,0.0,0.0,0.0,1.1669023654174003e-08,1.1669023654174003e-08
180,1.8000000000000024e-05,233.73539233207703,0,0,0.0,0.0,0.0,0.0,1.1669023654231545e-08,1.1669023654231545e-08
181,1.8100000000000023e-05,235.02811408042908,0,0,0.0,0.0,0.0,0.0,1.1669023654288257e-08,1.1669023654288257e-08
182,1.8200000000000022e-05,235.82069754600525,0,0,0.0,0.0,0.0,0.0,1.1669023654344282e-08,1.1669023654344282e-08
183,1.830000000000002e-05,236.6117811203003,0,0,0.0,0.0,0.0,0.0,1.1669023654399453e-08,1.1669023654399453e-08
184,1.840000000000002e-05,237.38950109481812,0,0,0.0,0.0,0.0,0.0,1.1669023654453885e-08,1.1669023654453885e-08
185,1.850000000000002e-05,238.05281782150269,0,0,0.0,0.0,0.0,0.0,1.166902365450753e-08,1.166902365450753e-08
186,1.860000000000002e-05,238.82360529899597,0,0,0.0,0.0,0.0,0.0,1.1669023654560414e-08,1.1669023654560414e-08
187,1.8700000000000017e-05,239.33692860603333,0,0,0.0,0.0,0.0,0.0,1.1669023654612459e-08,1.1669023654612459e-08
188,1.8800000000000017e-05,239.87521982192993,0,0,0.0,0.0,0.0,0.0,1.1669023654663906e-08,1.1669023654663906e-08
189,1.8900000000000016e-05,240.40649104118347,0,0,0.0,0.0,0.0,0.0,1.1669023654714624e-08,1.1669023654714624e-08
190,1.9000000000000015e-05,240.961820602417,0,0,0.0,0.0,0.0,0.0,1.1669023654764567e-08,1.1669023654764567e-08
191,1.9100000000000014e-05,241.50599074363708,0,0,0.0,0.0,0.0,0.0,1.1669023654813636e-08,1.1669023654813636e-08
192,1.9200000000000013e-05,242.02401781082153,0,0,0.0,0.0,0.0,0.0,1.1669023654862196e-08,1.1669023654862196e-08
193,1.9300000000000012e-05,242.5437045097351,0,0,0.0,0.0,0.0,0.0,1.1669023654910143e-08,1.1669023654910143e-08
194,1.940000000000001e-05,243.03842163085938,0,0,0.0,0.0,0.0,0.0,1.1669023654957287e-08,1.1669023654957287e-08
195,1.950000000000001e-05,243.51537919044495,0,0,0.0,0.0,0.0,0.0,1.1669023655003768e-08,1.1669023655003768e-08
196,1.960000000000001e-05,244.00615859031677,0,0,0.0,0.0,0.0,0.0,1.1669023655049655e-08,1.1669023655049655e-08
197,1.9700000000000008e-05,244.64775228500366,0,0,0.0,0.0,0.0,0.0,1.1669023655094711e-08,1.1669023655094711e-08
198,1.9800000000000007e-05,245.30616807937622,0,0,0.0,0.0,0.0,0.0,1.1669023655139306e-08,1.1669023655139306e-08
199,1.9900000000000006e-05,245.83866119384766,0,0,0.0,0.0,0.0,0.0,1.1669023655183264e-08,1.1669023655183264e-08
200,2.0000000000000005e-05,246.3628535270691,0,0,0.0,0.0,0.0,0.0,1.1669023655226596e-08,1.1669023655226596e-08
201,2.0100000000000004e-05,247.1634590625763,0,0,0.0,0.0,0.0,0.0,1.1669023655269334e-08,1.1669023655269334e-08
202,2.0200000000000003e-05,247.71388578414917,0,0,0.0,0.0,0.0,0.0,1.1669023655311327e-08,1.1669023655311327e-08
203,2.0300000000000002e-05,248.20616006851196,0,0,0.0,0.0,0.0,0.0,1.1669023655352846e-08,1.1669023655352846e-08
204,2.04e-05,248.74989700317383,0,0,0.0,0.0,0.0,0.0,1.1669023655393827e-08,1.1669023655393827e-08
205,2.05e-05,249.26908421516418,0,0,0.0,0.0,0.0,0.0,1.1669023655434104e-08,1.1669023655434104e-08
206,2.06e-05,249.79743075370789,0,0,0.0,0.0,0.0,0.0,1.1669023655473802e-08,1.1669023655473802e-08
207,2.07e-05,250.31233620643616,0,0,0.0,0.0,0.0,0.0,1.1669023655512924e-08,1.1669023655512924e-08
208,2.0799999999999997e-05,251.01830768585205,0,0,0.0,0.0,0.0,0.0,1.1669023655551658e-08,1.1669023655551658e-08
209,2.0899999999999996e-05,251.78645133972168,0,0,0.0,0.0,0.0,0.0,1.1669023655589652e-08,1.1669023655589652e-08
210,2.0999999999999995e-05,252.42632031440735,0,0,0.0,0.0,0.0,0.0,1.1669023655627326e-08,1.1669023655627326e-08
211,2.1099999999999994e-05,253.0949902534485,0,0,0.0,0.0,0.0,0.0,1.16690236556642e-08,1.16690236556642e-08
212,2.1199999999999994e-05,253.79095911979675,0,0,0.0,0.0,0.0,0.0,1.1669023655700744e-08,1.1669023655700744e-08
213,2.1299999999999993e-05,254.53462648391724,0,0,0.0,0.0,0.0,0.0,1.1669023655736743e-08,1.1669023655736743e-08
214,2.139999999999999e-05,255.10931372642517,0,0,0.0,0.0,0.0,0.0,1.1669023655772245e-08,1.1669023655772245e-08
215,2.149999999999999e-05,255.6210961341858,0,0,0.0,0.0,0.0,0.0,1.1669023655807172e-08,1.1669023655807172e-08
216,2.159999999999999e-05,256.13246488571167,0,0,0.0,0.0,0.0,0.0,1.1669023655841677e-08,1.1669023655841677e-08
217,2.169999999999999e-05,256.66029620170593,0,0,0.0,0.0,0.0,0.0,1.1669023655875496e-08,1.1669023655875496e-08
218,2.1799999999999988e-05,257.1639709472656,0,0,0.0,0.0,0.0,0.0,1.1669023655909053e-08,1.1669023655909053e-08
219,2.1899999999999987e-05,257.66183495521545,0,0,0.0,0.0,0.0,0.0,1.1669023655942064e-08,1.1669023655942064e-08
220,2.1999999999999986e-05,258.1488468647003,0,0,0.0,0.0,0.0,0.0,1.1669023655974691e-08,1.1669023655974691e-08
221,2.2099999999999985e-05,258.9608075618744,0,0,0.0,0.0,0.0,0.0,1.1669023656006708e-08,1.1669023656006708e-08
222,2.2199999999999984e-05,259.45601534843445,0,0,0.0,0.0,0.0,0.0,1.166902365603836e-08,1.166902365603836e-08
223,2.2299999999999983e-05,259.99998211860657,0,0,0.0,0.0,0.0,0.0,1.166902365606962e-08,1.166902365606962e-08
224,2.2399999999999982e-05,260.4431359767914,0,0,0.0,0.0,0.0,0.0,1.1669023656100242e-08,1.1669023656100242e-08
225,2.249999999999998e-05,260.94026350975037,0,0,0.0,0.0,0.0,0.0,1.1669023656130524e-08,1.1669023656130524e-08
226,2.259999999999998e-05,261.427357673645,0,0,0.0,0.0,0.0,0.0,1.166902365616052e-08,1.166902365616052e-08
227,2.269999999999998e-05,261.9282147884369,0,0,0.0,0.0,0.0,0.0,1.1669023656189983e-08,1.1669023656189983e-08
228,2.2799999999999978e-05,262.47649812698364,0,0,0.0,0.0,0.0,0.0,1.1669023656218977e-08,1.1669023656218977e-08
229,2.2899999999999977e-05,263.0045328140259,0,0,0.0,0.0,0.0,0.0,1.1669023656247588e-08,1.1669023656247588e-08
230,2.2999999999999976e-05,263.5053267478943,0,0,0.0,0.0,0.0,0.0,1.1669023656275816e-08,1.1669023656275816e-08
231,2.3099999999999975e-05,264.00875639915466,0,0,0.0,0.0,0.0,0.0,1.1669023656303656e-08,1.1669023656303656e-08
232,2.3199999999999974e-05,264.45767736434937,0,0,0.0,0.0,0.0,0.0,1.1669023656331174e-08,1.1669023656331174e-08
233,2.3299999999999973e-05,264.9448356628418,0,0,0.0,0.0,0.0,0.0,1.1669023656358228e-08,1.1669023656358228e-08
234,2.3399999999999972e-05,265.4563343524933,0,0,0.0,0.0,0.0,0.0,1.166902365638482e-08,1.166902365638482e-08
235,2.349999999999997e-05,266.03216576576233,0,0,0.0,0.0,0.0,0.0,1.1669023656411088e-08,1.1669023656411088e-08
236,2.359999999999997e-05,266.870564699173,0,0,0.0,0.0,0.0,0.0,1.1669023656436976e-08,1.1669023656436976e-08
237,2.369999999999997e-05,267.3600661754608,0,0,0.0,0.0,0.0,0.0,1.1669023656462635e-08,1.1669023656462635e-08
238,2.379999999999997e-05,267.890389919281,0,0,0.0,0.0,0.0,0.0,1.1669023656487758e-08,1.1669023656487758e-08
