ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,total_E
540,1.0800000000000053e-06,3657.7483727931976,9261,800000000.0000001,0.0,0.0,0.0,9.744585216469814e-13,68921,100000000.00000001,0.0,0.0,0.0,1.5961077019333292e-09,7.686059001621898e-11,1.6739427504711951e-09
550,1.1000000000000047e-06,3713.789944410324,9261,800000000.0000001,0.0,0.0,0.0,1.0109519548830715e-12,68921,100000000.00000001,0.0,0.0,0.0,1.6558818724831697e-09,7.686059001621898e-11,1.7337534144542717e-09
560,1.120000000000004e-06,3767.2376391887665,9261,800000000.0000001,0.0,0.0,0.0,1.048116223289036e-12,68921,100000000.00000001,0.0,0.0,0.0,1.7167548329331677e-09,7.686059001621898e-11,1.7946635391726756e-09
570,1.1400000000000035e-06,3819.453322649002,9261,800000000.0000001,0.0,0.0,0.0,1.0859513268648924e-12,68921,100000000.00000001,0.0,0.0,0.0,1.7787265832832945e-09,7.686059001621898e-11,1.8566731246263784e-09
580,1.1600000000000029e-06,3875.4545681476593,9261,800000000.0000001,0.0,0.0,0.0,1.1244572656106398e-12,68921,100000000.00000001,0.0,0.0,0.0,1.8417971235335404e-09,7.686059001621898e-11,1.9197821708153702e-09
590,1.1800000000000023e-06,3928.659213781357,9261,800000000.0000001,0.0,0.0,0.0,1.1636340395262616e-12,68921,100000000.00000001,0.0,0.0,0.0,1.90596645368391e-09,7.686059001621898e-11,1.9839906777396554e-09
600,1.2000000000000016e-06,3983.9105763435364,9261,800000000.0000001,0.0,0.0,0.0,1.2034816486117738e-12,68921,100000000.00000001,0.0,0.0,0.0,1.9712345737344586e-09,7.686059001621898e-11,2.049298645399289e-09
610,1.220000000000001e-06,4041.5441122055054,9261,800000000.0000001,0.0,0.0,0.0,1.2440000928671693e-12,68921,100000000.00000001,0.0,0.0,0.0,2.037601483685168e-09,7.686059001621898e-11,2.115706073794254e-09
620,1.2400000000000004e-06,4093.2323789596558,9261,800000000.0000001,0.0,0.0,0.0,1.2851893722924348e-12,68921,100000000.00000001,0.0,0.0,0.0,2.105067183535966e-09,7.686059001621898e-11,2.183212962924477e-09
630,1.2599999999999998e-06,4147.39332985878,9261,800000000.0000001,0.0,0.0,0.0,1.3270494868875933e-12,68921,100000000.00000001,0.0,0.0,0.0,2.1736316732869588e-09,7.686059001621898e-11,2.2518193127900655e-09
640,1.2799999999999992e-06,4199.925121307373,9261,800000000.0000001,0.0,0.0,0.0,1.3695804366526447e-12,68921,100000000.00000001,0.0,0.0,0.0,2.2432949529380425e-09,7.686059001621898e-11,2.321525123390914e-09
650,1.2999999999999986e-06,4252.4869384765625,9261,800000000.0000001,0.0,0.0,0.0,1.4127822215875749e-12,68921,100000000.00000001,0.0,0.0,0.0,2.314057022489315e-09,7.686059001621898e-11,2.3923303947271213e-09
660,1.319999999999998e-06,4305.515202045441,9261,800000000.0000001,0.0,0.0,0.0,1.4566548416923854e-12,68921,100000000.00000001,0.0,0.0,0.0,2.3859178819407477e-09,7.686059001621898e-11,2.464235126798659e-09
670,1.3399999999999973e-06,4361.278691291809,9261,800000000.0000001,0.0,0.0,0.0,1.501198296967084e-12,68921,100000000.00000001,0.0,0.0,0.0,2.4588775312922245e-09,7.686059001621898e-11,2.5372393196054105e-09
680,1.3599999999999967e-06,4414.218740940094,9261,800000000.0000001,0.0,0.0,0.0,1.5464125874116758e-12,68921,100000000.00000001,0.0,0.0,0.0,2.5329359705438967e-09,7.686059001621898e-11,2.6113429731475273e-09
690,1.379999999999996e-06,4472.902369022369,9261,800000000.0000001,0.0,0.0,0.0,1.5922977130261473e-12,68921,100000000.00000001,0.0,0.0,0.0,2.6080931996956906e-09,7.686059001621898e-11,2.6865460874249356e-09
700,1.3999999999999955e-06,4525.670048952103,9261,800000000.0000001,0.0,0.0,0.0,1.6388536738104861e-12,68921,100000000.00000001,0.0,0.0,0.0,2.6843492187477097e-09,7.686059001621898e-11,2.7628486624377394e-09
710,1.4199999999999949e-06,4577.3176255226135,9261,800000000.0000001,0.0,0.0,0.0,1.6860804697647148e-12,68921,100000000.00000001,0.0,0.0,0.0,2.7617040276997386e-09,7.686059001621898e-11,2.8402506981857222e-09
720,1.4399999999999943e-06,4632.466261148453,9261,800000000.0000001,0.0,0.0,0.0,1.7339781008888314e-12,68921,100000000.00000001,0.0,0.0,0.0,2.8401576265520157e-09,7.686059001621898e-11,2.9187521946691237e-09
730,1.4599999999999936e-06,4684.924317121506,9261,800000000.0000001,0.0,0.0,0.0,1.7825465671828439e-12,68921,100000000.00000001,0.0,0.0,0.0,2.919710015304365e-09,7.686059001621898e-11,2.998353151887767e-09
740,1.479999999999993e-06,4737.418879270554,9261,800000000.0000001,0.0,0.0,0.0,1.831785868646738e-12,68921,100000000.00000001,0.0,0.0,0.0,3.0003611939569354e-09,7.686059001621898e-11,3.0790535698418013e-09
750,1.4999999999999924e-06,4794.882355213165,9261,800000000.0000001,0.0,0.0,0.0,1.8816960052805018e-12,68921,100000000.00000001,0.0,0.0,0.0,3.0821111625095345e-09,7.686059001621898e-11,3.160853448531034e-09
760,1.5199999999999918e-06,4847.731505155563,9261,800000000.0000001,0.0,0.0,0.0,1.9322769770841585e-12,68921,100000000.00000001,0.0,0.0,0.0,3.164959920962407e-09,7.686059001621898e-11,3.2437527879557103e-09
770,1.5399999999999912e-06,4903.156806230545,9261,800000000.0000001,0.0,0.0,0.0,1.9835287840576938e-12,68921,100000000.00000001,0.0,0.0,0.0,3.2489074693153767e-09,7.686059001621898e-11,3.3277515881156533e-09
780,1.5599999999999906e-06,4957.771916151047,9261,800000000.0000001,0.0,0.0,0.0,2.0354514262011185e-12,68921,100000000.00000001,0.0,0.0,0.0,3.3339538075683552e-09,7.686059001621898e-11,3.4128498490107753e-09
790,1.57999999999999e-06,5010.554970502853,9261,800000000.0000001,0.0,0.0,0.0,2.0880449035144384e-12,68921,100000000.00000001,0.0,0.0,0.0,3.4200989357215614e-09,7.686059001621898e-11,3.499047570641295e-09
800,1.5999999999999893e-06,5062.394928455353,9261,800000000.0000001,0.0,0.0,0.0,2.1413092159976188e-12,68921,100000000.00000001,0.0,0.0,0.0,3.5073428537749778e-09,7.686059001621898e-11,3.5863447530071945e-09
810,1.6199999999999887e-06,5113.34951877594,9261,800000000.0000001,0.0,0.0,0.0,2.1952443636507067e-12,68921,100000000.00000001,0.0,0.0,0.0,3.595685561728458e-09,7.686059001621898e-11,3.674741396108328e-09
820,1.6399999999999881e-06,5165.7328860759735,9261,800000000.0000001,0.0,0.0,0.0,2.249850346473655e-12,68921,100000000.00000001,0.0,0.0,0.0,3.6851270595821776e-09,7.686059001621898e-11,3.76423749994487e-09
830,1.6599999999999875e-06,5221.315966129303,9261,800000000.0000001,0.0,0.0,0.0,2.305127164466526e-12,68921,100000000.00000001,0.0,0.0,0.0,3.77566734733585e-09,7.686059001621898e-11,3.854833064516536e-09
840,1.6799999999999869e-06,5276.744806528091,9261,800000000.0000001,0.0,0.0,0.0,2.3610748176292453e-12,68921,100000000.00000001,0.0,0.0,0.0,3.867306424989831e-09,7.686059001621898e-11,3.94652808982368e-09
850,1.6999999999999863e-06,5330.535001039505,9261,800000000.0000001,0.0,0.0,0.0,2.4176933059618557e-12,68921,100000000.00000001,0.0,0.0,0.0,3.960044292543952e-09,7.686059001621898e-11,4.039322575866134e-09
860,1.7199999999999856e-06,5386.170223474503,9261,800000000.0000001,0.0,0.0,0.0,2.474982629464357e-12,68921,100000000.00000001,0.0,0.0,0.0,4.0538809499980375e-09,7.686059001621898e-11,4.133216522643721e-09
870,1.739999999999985e-06,5439.698409318924,9261,800000000.0000001,0.0,0.0,0.0,2.5329427881367545e-12,68921,100000000.00000001,0.0,0.0,0.0,4.148816397352387e-09,7.686059001621898e-11,4.2282099301567426e-09
880,1.7599999999999844e-06,5493.791460514069,9261,800000000.0000001,0.0,0.0,0.0,2.5915737819790054e-12,68921,100000000.00000001,0.0,0.0,0.0,4.24485063460693e-09,7.686059001621898e-11,4.324302798405129e-09
890,1.7799999999999838e-06,5546.6265506744385,9261,800000000.0000001,0.0,0.0,0.0,2.6508756109911793e-12,68921,100000000.00000001,0.0,0.0,0.0,4.341983661761521e-09,7.686059001621898e-11,4.421495127388732e-09
900,1.7999999999999832e-06,5598.607380628586,9261,800000000.0000001,0.0,0.0,0.0,2.7108482751731963e-12,68921,100000000.00000001,0.0,0.0,0.0,4.440215478816349e-09,7.686059001621898e-11,4.519786917107742e-09
910,1.8199999999999826e-06,5649.266265630722,9261,800000000.0000001,0.0,0.0,0.0,2.771491774525125e-12,68921,100000000.00000001,0.0,0.0,0.0,4.539546085771249e-09,7.686059001621898e-11,4.619178167561994e-09
920,1.839999999999982e-06,5701.353677272797,9261,800000000.0000001,0.0,0.0,0.0,2.8328061090469136e-12,68921,100000000.00000001,0.0,0.0,0.0,4.6399754826264065e-09,7.686059001621898e-11,4.719668878751673e-09
930,1.8599999999999813e-06,5753.467175960541,9261,800000000.0000001,0.0,0.0,0.0,2.8947912787386144e-12,68921,100000000.00000001,0.0,0.0,0.0,4.741503669381494e-09,7.686059001621898e-11,4.821259050676451e-09
940,1.8799999999999807e-06,5833.6012144088745,9261,800000000.0000001,0.0,0.0,0.0,2.957447283600179e-12,68921,100000000.00000001,0.0,0.0,0.0,4.844130646036831e-09,7.686059001621898e-11,4.92394868333665e-09
950,1.8999999999999801e-06,5902.480773925781,9261,800000000.0000001,0.0,0.0,0.0,3.0207741236316165e-12,68921,100000000.00000001,0.0,0.0,0.0,4.9478564125924e-09,7.686059001621898e-11,5.027737776732251e-09
960,1.9199999999999808e-06,5953.147467374802,9261,800000000.0000001,0.0,0.0,0.0,3.0847717988329918e-12,68921,100000000.00000001,0.0,0.0,0.0,5.052680969047932e-09,7.686059001621898e-11,5.132626330862984e-09
970,1.9399999999999823e-06,6007.325017213821,9261,800000000.0000001,0.0,0.0,0.0,3.1494403092042e-12,68921,100000000.00000001,0.0,0.0,0.0,5.158604315403671e-09,7.686059001621898e-11,5.2386143457290946e-09
980,1.9599999999999838e-06,6061.814771652222,9261,800000000.0000001,0.0,0.0,0.0,3.2147796547453316e-12,68921,100000000.00000001,0.0,0.0,0.0,5.265626451659644e-09,7.686059001621898e-11,5.345701821330609e-09
990,1.9799999999999853e-06,6119.0492208004,9261,800000000.0000001,0.0,0.0,0.0,3.2807898354563353e-12,68921,100000000.00000001,0.0,0.0,0.0,5.373747377815667e-09,7.686059001621898e-11,5.453888757667343e-09
999,1.9979999999999866e-06,6169.987625360489,9261,800000000.0000001,0.0,0.0,0.0,3.3407725621664846e-12,68921,100000000.00000001,0.0,0.0,0.0,5.471995676720692e-09,7.686059001621898e-11,5.552197039299078e-09
