ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,total_E
61,1.24e-07,3.11179,68921,8e+08,-6.07076e-19,-6.07076e-19,-6.07076e-19,9.99131e-15,9261,1e+08,2.6166e-17,2.6166e-17,2.6166e-17,1.40797e-11,6.27804e-11,7.68701e-11
62,1.26e-07,3.14692,68921,8e+08,-5.83728e-19,-5.83728e-19,-5.83728e-19,1.0301e-14,9261,1e+08,2.64936e-17,2.64936e-17,2.64936e-17,1.43617e-11,6.25001e-11,7.68721e-11
63,1.28e-07,3.18544,68921,8e+08,-6.91598e-19,-6.91598e-19,-6.91598e-19,1.06149e-14,9261,1e+08,2.68147e-17,2.68147e-17,2.68147e-17,1.46387e-11,6.22248e-11,7.68742e-11
64,1.3e-07,3.22204,68921,8e+08,-5.03753e-19,-5.03753e-19,-5.03753e-19,1.0931e-14,9261,1e+08,2.71293e-17,2.71293e-17,2.71293e-17,1.49105e-11,6.19549e-11,7.68764e-11
65,1.32e-07,3.25999,68921,8e+08,-3.74899e-19,-3.74899e-19,-3.74899e-19,1.12448e-14,9261,1e+08,2.74372e-17,2.74372e-17,2.74372e-17,1.51768e-11,6.16909e-11,7.68789e-11
66,1.34e-07,3.296,68921,8e+08,-6.97665e-19,-6.97665e-19,-6.97665e-19,1.15626e-14,9261,1e+08,2.77382e-17,2.77382e-17,2.77382e-17,1.54372e-11,6.14327e-11,7.68815e-11
67,1.36e-07,3.33159,68921,8e+08,-1.62529e-18,-1.62529e-18,-1.62529e-18,1.18835e-14,9261,1e+08,2.80322e-17,2.80322e-17,2.80322e-17,1.56916e-11,6.11808e-11,7.68843e-11
68,1.38e-07,3.3681,68921,8e+08,-1.57691e-18,-1.57691e-18,-1.57691e-18,1.22056e-14,9261,1e+08,2.8319e-17,2.8319e-17,2.8319e-17,1.59396e-11,6.09351e-11,7.68869e-11
69,1.4e-07,3.40538,68921,8e+08,-1.84817e-18,-1.84817e-18,-1.84817e-18,1.25318e-14,9261,1e+08,2.85985e-17,2.85985e-17,2.85985e-17,1.61811e-11,6.06963e-11,7.689e-11
70,1.42e-07,3.44374,68921,8e+08,-2.50868e-18,-2.50868e-18,-2.50868e-18,1.28614e-14,9261,1e+08,2.88705e-17,2.88705e-17,2.88705e-17,1.64158e-11,6.04644e-11,7.68931e-11
